Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
09/16/2021,81.95307922,48.00679779,37.26225281,100.3697052,157.0747528,70.50032043,65.97037506,131.4864197,183.9255981,83.54175568,46.35185242
09/17/2021,80.26546478,47.64933395,37.0944519,99.30079651,154.6282043,70.11711121,64.95304108,131.6150818,183.2785339,82.61760712,45.93029404
09/20/2021,78.72310638,46.1942749,36.23395157,98.16188812,151.8117523,69.41710663,64.83377838,130.2416382,179.0962524,80.9572525,45.61580658
09/21/2021,78.53478241,46.30183411,36.18438721,97.64555359,151.8715363,69.33800507,64.65637207,130.4402771,179.3654175,80.61880493,45.62565994
09/22/2021,79.34758759,47.72951508,36.78911209,98.42005157,153.9537354,69.53575134,64.61694336,130.6587372,181.8080139,80.57898712,46.01014709
09/23/2021,80.47757721,49.40166473,37.69124603,99.92931366,156.0160217,69.79280853,64.27198029,131.6021576,183.65242,81.40518951,45.78339767
09/24/2021,80.35863495,49.77325058,37.88951492,100.137825,156.1256104,69.82247925,64.20298767,131.0658875,184.3403168,82.07211304,45.26089096
09/27/2021,80.98310089,51.54318619,38.40502167,100.2371216,154.6112671,69.50608826,63.44406509,129.1989288,185.3273163,82.06216431,44.51164246
09/28/2021,79.98197174,51.71920013,37.77054977,99.07538605,150.0284119,68.68546295,62.64571762,126.9843674,181.7581635,80.06137848,44.2454567
09/29/2021,79.65486145,51.71920013,37.80029297,99.18460846,149.8391266,69.30834961,63.46377182,127.9873657,181.9376068,79.99169159,44.531353
09/30/2021,78.41583252,50.93690872,37.20547867,97.149086,148.7631836,68.06256866,62.96111298,126.4183121,178.9068146,79.74284363,43.82153702
10/01/2021,79.66477203,52.64817047,37.82011795,98.47962189,151.004776,68.24053955,62.96111298,126.4481049,180.2527313,81.08665466,44.2947464
10/04/2021,79.31784821,53.50868988,37.49297333,97.94343567,147.5078735,68.02303314,63.82845688,124.5215378,178.8270569,79.3347168,44.34404373
10/05/2021,80.02161407,53.8216095,38.22657776,99.03566742,149.6099854,68.36907959,63.67075348,125.2663422,179.5448761,80.51926422,43.99898911
10/06/2021,79.87293243,53.25444412,38.26622772,99.47255707,150.5863342,69.0315094,64.65637207,125.037941,180.1131592,80.65863037,44.4229126
10/07/2021,80.91371918,53.66514969,38.49424362,100.2470551,151.9611816,69.33800507,64.311409,126.696373,182.9146423,81.00702667,44.47220612
10/08/2021,80.46766663,55.31773758,38.68259811,100.2371216,151.3933258,69.25891113,63.83830643,126.0608063,182.0771942,80.6088562,43.98913193
10/11/2021,80.47757721,55.11238861,38.29597092,99.43284607,150.5564423,69.23913574,62.97096634,125.0776596,181.3394318,79.39444733,44.04828644
10/12/2021,80.58661652,55.16128159,38.17700577,99.10517883,149.7793579,69.2687912,63.39478302,124.4718857,182.7750702,78.65783691,44.63980103
10/13/2021,81.19126129,55.11238861,37.95890808,99.31369019,150.6959381,69.39733124,64.13399506,124.6705017,183.672348,79.02614594,44.89612579
